sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,errors
6Fl,,Default,simple,"Default Category, Floor Tiles/Ceramic/Henley",base,"Henley™ Warm Tile","Inspired by Victorian encaustic design. It's made from ceramic with a matt finish. The pre scored grout lines are made to look like grout joints, creating the appearance of four tiles rather than one large one. Occasionally, a very faint micro line may appear on the surface: this is simply a characteristic of the digital printing technology used and won't compromise the final effect. 

Embodying all things pattern, the Statements™ range brings together different design eras into a format reminiscent of traditional encaustic tiles. The pre-scored lines make these tiles easier to lay but also give the look of four smaller tiles once grouted.","Product Colour:          Orange, Patterned, Multicoloured
Tile Surface:                Floor, Wall
Tile Size:                      45cm x 45cm Square
Tile Depth (cm):          0.9
Weight (kg):                 3.996",,1,"Taxable Goods","Catalog, Search",9,,,,Henley-Warm-Tile,"Henley™ Warm Tile","Henlen Tile / Henley Warm/ Henley Warm Ceramic/ Henley Warm Floor Tiles","Inspired by Victorian encaustic design. It's made from ceramic with a matt finish. The statement range brings together different design eras into a format reminiscent of traditional encaustic tiles.",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=5",250,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Floor Tiles/Ceramic/Henley"" has not been created. URL key for specified store already exists."
7Fl,,Default,simple,"Default Category, Floor Tiles/Ceramic/Brixton Matt",base,"Brixton Tile","This dramatic monochrome tile creates instant impact with bold geometric diamonds. Soften the graphic lines with textured furnishings, painted wood and accessories.

Embodying all things pattern, the Statements™ range brings together different design eras into a format reminiscent of traditional encaustic tiles. The pre-scored lines make these tiles easier to lay but also give the look of four smaller tiles once grouted.","Product Colour:          Black, Multicoloured, White, Patterned
Tile Surface:                Floor, Wall
Tile Size:                      45cm x 45cm Square
Tile Depth (cm):          1.05
Weight (kg):                 4",,1,"Taxable Goods","Catalog, Search",14,,,,Brixton-Tile,"Brixton Tile","Brixton Tile /Brixton Ceramic/ Brixton Floor Tiles","This dramatic monochrome tile creates instant impact with bold geometric diamonds. Soften the graphic lines with textured furnishings, painted wood and accessories. ",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=6",300,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Floor Tiles/Ceramic/Brixton Matt"" has not been created. URL key for specified store already exists."
20Ki,,Default,simple,"Default Category, Kitchen Tiles/Ceramic/Attingham",base,"Cirlce Blue Tile","With their layered hues and tactile finish, these Attingham™ Mist Geometrics décor tiles lend a vintage feel to your living space. The subtle variation in shading is achieved by applying different amounts of glaze to each tile, and the relief effect is a result of using a reactive print. Each set of tiles contains five different geometric designs, allowing you to create a distinctive statement. Pair these grey tiles with designs from the main range to create a unique display.","Coverage Per Box:                      0.3m²
Tiles Per Box:                              5
Product Colour:                          Grey
Tile Surface:                                Wall
Tile Size:                                      40cm x 15cm Rectangular
Tile Depth (cm):                         1
Weight (kg):                                5.1",,1,"Taxable Goods","Catalog, Search",12,,,,Cirlce-Blue-Tile,"Cirlce Blue Tile","Attingham Powder / Attingham Blue/ Attingham Ceramic/ Attingham Kitchen Tiles","With their layered hues and tactile finish, these Attingham Mist Geometrics decor tiles lend a vintage feel. The subtle variation in shading is achieved by applying different amounts of glaze to each tile, and the relief effect.",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=19",400,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Kitchen Tiles/Ceramic/Attingham"" has not been created. URL key for specified store already exists."
21Ki,,Default,simple,"Default Category, Kitchen Tiles/Ceramic/Attingham",base,"Powder Blue Geometric Decor Tile","For using 50/50 Brickbond and Stepladder laying patterns with Attingham tiles, we would recommend allowing 10% extra for cuts and breakages. Dry laying is also advised so that required adjustments can be made.","Coverage Per Box:                      0.3m²
Tiles Per Box:                              5
Product Colour:                          Blue
Tile Surface:                                Wall
Tile Size:                                      40cm x 15cm Rectangular
Tile Depth (cm):                         1
Weight (kg):                                5.1",,1,"Taxable Goods","Catalog, Search",12,,,,Powder-Blue-Geometric-Decor-Tile,"Powder Blue Geometric Decor Tile","Attingham Powder / Attingham Blue/ Attingham Geometric/Attingham Ceramic/ Attingham Kitchen Tiles","For using 50/50 Brickbond and Stepladder laying patterns with Attingham tiles, we would recommend allowing 10% extra for cuts and breakages. ",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=20",400,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Kitchen Tiles/Ceramic/Attingham"" has not been created. URL key for specified store already exists."
22Ki,,Default,simple,"Default Category, Kitchen Tiles/Ceramic/Attingham",base,"Powder Blue Tile","These vintage style Attingham™ powder blue ceramic tiles feature subtle colours and variations in shading, created by applying differing amounts of glaze to each tile. The aesthetic is popular with interior designers, and the range won Silver at the 2016 House Beautiful Awards. Opt for a coordinated look by pairing these blue tiles with the Attingham™ Geometrics décor tiles in a coordinating powder blue hue, which use a reactive print to create a relief effect.","Coverage Per Box:                      0.3m²
Tiles Per Box:                              5
Product Colour:                          Blue
Tile Surface:                                Wall
Tile Size:                                      40cm x 15cm Rectangular
Tile Depth (cm):                         1
Weight (kg):                                1.02",,1,"Taxable Goods","Catalog, Search",11,,,,Powder-Blue-Tile,"Powder Blue Tile","Attingham Powder / Attingham Blue/ Attingham Ceramic/ Attingham Kitchen Tiles","The range won Silver at the 2016 House Beautiful Awards. Opt for a coordinated look by pairing these blue tiles with the Attingham Geometrics décor tiles in a coordinating powder blue hue, which use a reactive print to create a relief effect.",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=21",400,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Kitchen Tiles/Ceramic/Attingham"" has not been created. URL key for specified store already exists."
23Ki,,Default,simple,"Default Category, Kitchen Tiles/Ceramic/Attingham",base,"Seagrass Geometric Decor Tile","These ceramic Attingham™ Seagrass Geometric décor tiles will lend a vintage feel to almost any space. The unique variations in shading are created by applying the glaze in layers, and a reactive print is used to form a relief effect.

For using 50/50 Brickbond and Stepladder laying patterns with Attingham tiles, we would recommend allowing 10% extra for cuts and breakages. Dry laying is also advised so that required adjustments can be made","Coverage Per Box:                      0.3m²
Tiles Per Box:                              5
Product Colour:                          Green
Tile Surface:                                Wall
Tile Size:                                      40cm x 15cm Rectangular
Tile Depth (cm):                         1
Weight (kg):                                5.1",,1,"Taxable Goods","Catalog, Search",13,,,,"Seagrass Geometric Decor Tile","Seagrass Geometric Decor Tile","Attingham Seagrass/Attingham Geometric/Attingham Ceramic/ Attingham Kitchen Tiles","These ceramic Attingham Seagrass Geometric décor tiles will lend a vintage feel to almost any space. The unique variations in shading are created by applying the glaze in layers, and a reactive print is used to form a relief effect.",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=22",400,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Kitchen Tiles/Ceramic/Attingham"" has not been created. URL key for specified store already exists."
28Ba,,Default,simple,"Default Category, Bathroom Tiles/Mosaic/Victorian Flooring",base,"Darlington Black/White Tile","Restoring the original flooring found in a Victorian property can be difficult, often the floor has been cracked with time or damaged from adhesives used to lay other flooring over the top from past eras. Coming across the original flooring to find replacements is also a costly venture, not only to source but to get fitted too.

Our Victorian Flooring range has been specifically designed to replicate the traditional tile designs from the Victorian era but with a contemporary twist to keep your space feeling fresh and modern. Its innovative mesh backing means easy and accurate installation every time, saving both time and money compared to individual tile installation.","Product Colour:                   Patterned
Tile Surface:                         Floor
Tile Size:                               38cm x 38cm Mosaic
Tile Depth (cm):                   0.83
Weight (kg):                          2.6",,1,"Taxable Goods","Catalog, Search",9,,,,Darlington-Black-White-Tile,"Darlington Black/White Tile","Victorian Flooring Darlington/Victorian Flooring Black/Victorian Flooring White/Victorian Flooring Bathroom Tiles","Our Victorian Flooring range has been specifically designed to replicate the traditional tile designs from the Victorian era but with a contemporary twist to keep your space feeling fresh and modern.",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=27",400,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Bathroom Tiles/Mosaic/Victorian Flooring"" has not been created. URL key for specified store already exists."
29Ba,,Default,simple,"Default Category, Bathroom Tiles/Mosaic/Victorian Flooring",base,"Darlington Blue Tile","Restoring the original flooring found in a Victorian property can be difficult, often the floor has been cracked with time or damaged from adhesives used to lay other flooring over the top from past eras. Coming across the original flooring to find replacements is also a costly venture, not only to source but to get fitted too.

Our Victorian Flooring range has been specifically designed to replicate the traditional tile designs from the Victorian era but with a contemporary twist to keep your space feeling fresh and modern. Its innovative mesh backing means easy and accurate installation every time, saving both time and money compared to individual tile installation.","Product Colour:                   Patterned
Tile Surface:                         Floor
Tile Size:                               38cm x 38cm Mosaic
Tile Depth (cm):                   0.83
Weight (kg):                          2.6",,1,"Taxable Goods","Catalog, Search",9,,,,Darlington-Blue-Tile,"Darlington Blue Tile","Victorian Flooring Darlington/Victorian Flooring Blue/Victorian Flooring Mosaic/Victorian Flooring Bathroom Tiles","Our Victorian Flooring range has been specifically designed to replicate the traditional tile designs from the Victorian era but with a contemporary twist to keep your space feeling fresh and modern.",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=28",400,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Bathroom Tiles/Mosaic/Victorian Flooring"" has not been created. URL key for specified store already exists."
30Ba,,Default,simple,"Default Category, Bathroom Tiles/Mosaic/Regal®",base,"Cubis Vanilla Grey Polished Mosaic Tile","Exclusive to Topps Tiles, these Regal® Cubis mosaic tiles can be teamed with coordinating grout, trims and thresholds to create a striking geometric effect. This polished porcelain design comes in a neutral cream shade and can be laid on the walls and floors for a seamless interior feel.","Product Colour:          Cream
Tile Surface:                Floor, Wall
Tile Size:                      34cm x 29.4cm Rectangular
Tile Depth (cm):          0.94
Weight (kg):                 1.9",,1,"Taxable Goods","Catalog, Search",8,,,,Regal-Cubis-Vanilla-Grey-Polished-Mosaic-Tile,"Cubis Vanilla Grey Polished Mosaic Tile","Regal Cubis Vanilla Grey / Regal Cubis Mosaic/ RegalCubis Polished /Regal Mosaic/ Regal Cubis Bathroom Tiles","These Regal Cubis mosaic tiles can be teamed with coordinating grout, trims and thresholds to create a striking geometric effect. ",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=29",400,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Bathroom Tiles/Mosaic/Regal®"" has not been created. URL key for specified store already exists."
31Ba,,Default,simple,"Default Category, Bathroom Tiles/Mosaic/Regal®",base,"Vanilla Polished Tile","The Regal® range includes a varied palette of subtle neutral designs as well as a variety of textural effects, alongside coordinating trims, thresholds and grouts, for a coordinated look. Use them on both your floors walls and floors, to create a striking design scheme. This rectangular cream coloured tile is made of elegant porcelain with a matt finish. These tiles do not require any sealing.","Product Colour:          Cream
Tile Surface:                Floor, Wall
Tile Size:                      60cm x 29.7cm Rectangular
Tile Depth (cm):          0.95
Weight (kg):                 3.5",,1,"Taxable Goods","Catalog, Search",8,,,,Vanilla-Polished-Tile,"Vanilla Polished Tile","Regal Vanilla/Regal Polished /Regal Mosaic/Regar Bathroom Tiles","The Regal range includes a varied palette of subtle neutral designs and variety of textural effects, coordinating trims, thresholds and grouts. This rectangular cream coloured tile is made of elegant porcelain with a matt finish. ",,,,,,,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=30",400,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,"Category "" Bathroom Tiles/Mosaic/Regal®"" has not been created. URL key for specified store already exists."
